DOCG,Region,Province
Aglianico del Taburno o Taburno DOCG,Campania,Benevento
Aglianico del Vulture Superiore DOCG,Basilicata,Potenza
Alta Langa DOCG,Piemonte,"Cuneo, Asti, Alessandria"
Amarone della Valpolicella DOCG,Veneto,Verona
Asti DOCG,Piemonte,"Asti, Cuneo"
Bagnoli Friularo o Friularo di Bagnoli DOCG,Veneto,Padova
Barbaresco DOCG,Piemonte,Cuneo
Barbera d'Asti DOCG,Piemonte,"Asti, Alessandria"
Barbera del Monferrato Superiore DOCG,Piemonte,"Asti, Alessandria"
Bardolino Superiore DOCG,Veneto,Verona
Barolo DOCG,Piemonte,Cuneo
Brachetto d'Acqui o Acqui DOCG,Piemonte,"Asti, Alessandria"
Brunello di Montalcino DOCG,Toscana,Siena
Cannellino di Frascati DOCG,Lazio,Roma
Carmignano DOCG,Toscana,Prato
Castel del Monte Bombino Nero DOCG,Puglia,"Bari, Barletta-Andria-Trani"
Castel del Monte Nero di Troia Riserva DOCG,Puglia,"Bari, Barletta-Andria-Trani"
Castel del Monte Rosso Riserva DOCG,Puglia,"Bari, Barletta-Andria-Trani"
Castelli di Jesi Verdicchio Riserva DOCG,Marche,"Ancona, Macerata"
Cerasuolo di Vittoria DOCG,Sicilia,"Ragusa, Caltanissetta, Catania"
Aglianico del Taburno o Taburno DOCG,Campania,Benevento
Aglianico del Vulture Superiore DOCG,Basilicata,Potenza
Alta Langa DOCG,Piemonte,"Cuneo, Asti, Alessandria"
Amarone della Valpolicella DOCG,Veneto,Verona
Asti DOCG,Piemonte,"Asti, Cuneo"
Bagnoli Friularo o Friularo di Bagnoli DOCG,Veneto,Padova
Barbaresco DOCG,Piemonte,Cuneo
Barbera d'Asti DOCG,Piemonte,"Asti, Alessandria"
Barbera del Monferrato Superiore DOCG,Piemonte,"Asti, Alessandria"
Bardolino Superiore DOCG,Veneto,Verona
Barolo DOCG,Piemonte,Cuneo
Brachetto d'Acqui o Acqui DOCG,Piemonte,"Asti, Alessandria"
Brunello di Montalcino DOCG,Toscana,Siena
Cannellino di Frascati DOCG,Lazio,Roma
Carmignano DOCG,Toscana,Prato
Castel del Monte Bombino Nero DOCG,Puglia,"Bari, Barletta-Andria-Trani"
Castel del Monte Nero di Troia Riserva DOCG,Puglia,"Bari, Barletta-Andria-Trani"
Castel del Monte Rosso Riserva DOCG,Puglia,"Bari, Barletta-Andria-Trani"
Castelli di Jesi Verdicchio Riserva DOCG,Marche,"Ancona, Macerata"
Cerasuolo di Vittoria DOCG,Sicilia,"Ragusa, Caltanissetta, Catania"
Cesanese del Piglio o Piglio DOCG,Lazio,Frosinone
Chianti Classico DOCG,Toscana,"Firenze, Siena"
Chianti DOCG,Toscana,"Arezzo, Firenze, Siena, Pisa, Pistoia, Prato"
Colli Asolani Prosecco o Asolo Prosecco DOCG,Veneto,Treviso
Colli Bolognesi Classico Pignoletto DOCG,Emilia-Romagna,Bologna
Colli di Conegliano DOCG,Veneto,Treviso
Colli Euganei Fior d'Arancio DOCG,Veneto,Padova
Colli Orientali del Friuli Picolit DOCG,Friuli-Venezia Giulia,Udine
Conegliano Valdobbiadene Prosecco DOCG,Veneto,Treviso
Conero DOCG,Marche,Ancona
Dogliani DOCG,Piemonte,Cuneo
Dolcetto di Diano d'Alba o Diano d'Alba DOCG,Piemonte,Cuneo
Dolcetto di Ovada Superiore o Ovada DOCG,Piemonte,Alessandria
Elba Aleatico Passito o Aleatico Passito dell'Elba DOCG,Toscana,Livorno
Erbaluce di Caluso o Caluso DOCG,Piemonte,"Torino, Vercelli"
Fiano di Avellino (Apianum) DOCG,Campania,Avellino
Franciacorta DOCG,Lombardia,Brescia
Frascati Superiore DOCG,Lazio,Roma
Gattinara DOCG,Piemonte,Vercelli
Gavi o Cortese di Gavi DOCG,Piemonte,Alessandria
Ghemme DOCG,Piemonte,Novara
Greco di Tufo DOCG,Campania,Avellino
Lison DOCG,"Veneto, Friuli-Venezia Giulia","Venezia, Treviso, Pordenone"
Montecucco Sangiovese DOCG,Toscana,Grosseto
Montefalco Sagrantino DOCG,Umbria,Perugia
Montello Rosso o Rosso del Montello DOCG,Veneto,Treviso
Montepulciano d'Abruzzo Colline Teramane DOCG,Abruzzo,Teramo
Morellino di Scansano DOCG,Toscana,Grosseto
Offida DOCG,Marche,Ascoli-Piceno
Oltrepò Pavese Metodo Classico DOCG,Lombardia,Pavia
Piave Malanotte o Malanotte del Piave DOCG,Veneto,Treviso
Primitivo di Manduria Dolce Naturale DOCG,Puglia,"Taranto, Brindisi"
Ramandolo DOCG,Friuli-Venezia Giulia,Udine
Recioto della Valpolicella DOCG,Veneto,Verona
Recioto di Gambellara DOCG,Veneto,Vicenza
Recioto di Soave DOCG,Veneto,Verona
Roero DOCG,Piemonte,Cuneo
Romagna Albana DOCG,Emilia-Romagna,"Bologna, Forli-Cesena, Ravenna"
Rosazzo DOCG,Friuli-Venezia Giulia,Udine
Rosso della Val di Cornia DOCG,Toscana,"Livorno, Pisa"
Ruchè di Castagnole Monferrato DOCG,Piemonte,Asti
Scanzo o Moscato di Scanzo DOCG,Lombardia,Bergamo
Sforzato di Valtellina o Sfursat di Valtellina DOCG,Lombardia,Sondrio
Soave Superiore DOCG,Veneto,Verona
Suvereto DOCG,Toscana,Livorno
Taurasi DOCG,Campania,Avelino
Torgiano Rosso Riserva DOCG,Umbria,Perugia
Valtellina Superiore DOCG,Lombardia,Sondrio
Verdicchio di Matelica Riserva DOCG,Marche,"Ancona, Macerata"
Vermentino di Gallura DOCG,Sardegna,"Sassari, Nuoro, Olbia-Tempio"
Vernaccia di San Gimignano DOCG,Toscana,Siena
Vernaccia di Serrapetrona DOCG,Marche,Macerata
Vino Nobile di Montepulciano DOCG,Toscana,Siena
